Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
17-10-2025,16:07,TESLA INC,US88160R1014,NDQ,CDED,2,"434,2200",USD,"-868,44",USD,"-744,81","1,1660","-1,86","-2,00","-748,67",b5dbbcdd-a994-4a84-b41b-c1384f2dc7cd
17-10-2025,16:01,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-10,"53,2600",USD,"532,60",USD,"456,27","1,1673","-1,14","-2,00","453,13",3e46818d-391a-4132-8038-bdad3ad76795
16-10-2025,19:00,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,2,"291,7200",USD,"-583,44",USD,"-499,61","1,1678","-1,25","-2,00","-502,86",a0b26e89-c1ab-41c7-94bb-b260da26e14b
16-10-2025,18:58,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,10,"59,4950",USD,"-594,95",USD,"-509,47","1,1678","-1,27","-2,00","-512,74",a142fefb-7211-4213-a788-d63161ca9fca
16-10-2025,16:15,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,-2,"297,6400",USD,"595,28",USD,"510,36","1,1664","-1,28","-2,00","507,08",04c3cd1e-cb55-479c-b725-f21b26d066e8
16-10-2025,16:10,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,SOHO,-10,"61,7300",USD,"617,30",USD,"529,42","1,1660","-1,32","-2,00","526,10",e005f929-40ed-4b97-b4f8-fa00ed9c3b7e
15-10-2025,21:13,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNYS,-6,"64,9000",USD,"389,40",USD,"334,62","1,1637","-0,84","-2,00","331,79",0fabe82a-1f46-4cb9-a80b-dd18ab8cf670
15-10-2025,19:52,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-10,"59,0000",USD,"590,00",USD,"507,36","1,1629","-1,27","-2,00","504,09",58532ff5-de7b-4fff-abba-c1e924a51440
15-10-2025,19:16,STRATEGY INC CLASS A,US5949724083,NDQ,JNST,-2,"295,3000",USD,"590,60",USD,"507,65","1,1634","-1,27","-2,00","504,38",7b3136e8-24ce-4f6c-99a1-35959008d6bb
15-10-2025,16:49,CELULARITY INC CLASS A,US1511902041,NDQ,BATS,-24,"2,2400",USD,"53,76",USD,"46,25","1,1625","-0,12",,"46,13",dffa7c26-238e-4246-afab-c2ee7aa411f5
15-10-2025,16:21,CELULARITY INC CLASS A,US1511902041,NDQ,BATS,-76,"2,2400",USD,"170,24",USD,"146,44","1,1625","-0,37",,"146,08",dffa7c26-238e-4246-afab-c2ee7aa411f5
15-10-2025,16:21,CELULARITY INC CLASS A,US1511902041,NDQ,BATS,-5,"2,2400",USD,"11,20",USD,"9,63","1,1625","-0,02","-2,00","7,61",dffa7c26-238e-4246-afab-c2ee7aa411f5
15-10-2025,16:01,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,2,"304,1000",USD,"-608,20",USD,"-523,10","1,1627","-1,31","-2,00","-526,40",1cecc66e-9e54-4463-9ca2-8edadb864ac9
14-10-2025,21:56,CELULARITY INC CLASS A,US1511902041,NDQ,XNAS,-95,"2,2800",USD,"216,60",USD,"186,63","1,1606","-0,47","-2,00","184,16",e81b85db-3330-4ada-a6d0-8681a643be7d
14-10-2025,19:17,CLEANSPARK INC,US18452B2097,NDQ,ARCX,-30,"21,9500",USD,"658,50",USD,"567,48","1,1604","-1,42","-2,00","564,06",a2d259d6-220b-4e13-b48f-86362f8e5d81
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,10,"2,1500",USD,"-21,50",USD,"-18,56","1,1585","-0,05",,"-18,60",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,1,"2,1500",USD,"-2,15",USD,"-1,86","1,1585","-0,00",,"-1,86",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,89,"2,1500",USD,"-191,35",USD,"-165,17","1,1585","-0,41",,"-165,58",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,100,"2,1500",USD,"-215,00",USD,"-185,59","1,1585","-0,46","-2,00","-188,05",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
14-10-2025,15:56,CLEANSPARK INC,US18452B2097,NDQ,CDED,30,"20,4500",USD,"-613,50",USD,"-529,89","1,1578","-1,32","-2,00","-533,21",4c7aca84-dc12-435a-9e01-0a32b9ec1483
13-10-2025,16:06,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,BATS,10,"55,6000",USD,"-556,00",USD,"-480,43","1,1573","-1,20","-2,00","-483,63",848437c5-03f3-4dfe-a514-3219f63676e1
13-10-2025,09:29,SOLANA,,TRD,TRDS,1,"172,0240",EUR,"-172,02",EUR,"-172,02",,"0,00","-0,50","-172,52",ab05930d-cc2a-4563-a755-cd17aa04bb84
10-10-2025,15:38,CLEANSPARK INC,US18452B2097,NDQ,XNAS,-25,"21,9500",USD,"548,75",USD,"474,54","1,1564","-1,19","-2,00","471,35",167f9cff-b561-47cc-a849-62b161e227f7
09-10-2025,19:03,SOLANA,,TRD,TRDS,1,"188,2210",EUR,"-188,22",EUR,"-188,22",,"0,00","-0,55","-188,77",f24e87c3-cbda-4c33-814d-8aff9223d7f8
08-10-2025,15:30,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,XNAS,-2,"84,9500",USD,"169,90",USD,"146,08","1,1631","-0,37","-2,00","143,71",154631cf-1c2c-4ead-bc56-6cbcece53852
06-10-2025,21:23,CLEANSPARK INC,US18452B2097,NDQ,XNAS,-20,"17,3000",USD,"346,00",USD,"295,40","1,1713","-0,74","-2,00","292,66",42ed8352-2561-45c0-a9bd-f83f9bc9f10b
02-10-2025,15:44,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,XNAS,-2,"59,0000",USD,"118,00",USD,"100,62","1,1727","-0,25","-2,00","98,37",aeec30c9-0166-4af5-b6f2-c4481325cfa8
25-09-2025,10:31,SOLANA,,TRD,TRDS,1,"174,9860",EUR,"-174,99",EUR,"-174,99",,"0,00","-0,51","-175,50",54798bed-8540-43df-9db1-134e18036980
18-09-2025,20:29,CLEANSPARK INC,US18452B2097,NDQ,XNYS,-20,"13,5000",USD,"270,00",USD,"229,07","1,1787","-0,57","-2,00","226,49",f8c59d88-c428-4fe3-8e94-245957625d6d
04-09-2025,18:31,"UPEXI, INC",US39959A2050,NDQ,EDGX,-50,"6,1400",USD,"307,00",USD,"263,82","1,1637","-0,66","-2,00","261,16",ce915071-b8e6-4815-993f-e15e7b0f8370
29-08-2025,16:26,SHARPLINK INC,US8200144058,NDQ,CDED,-6,"17,6700",USD,"106,02",USD,"90,75","1,1683","-0,23","-2,00","88,52",90d112cb-9977-42df-8f7e-8a6b697d3056
20-08-2025,16:18,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,CDED,7,"43,5150",USD,"-304,60",USD,"-261,38","1,1654","-0,65","-2,00","-264,03",1849aa79-31f9-47be-b2d4-14d7484e27c4
20-08-2025,16:17,CLEANSPARK INC,US18452B2097,NDQ,BATS,-40,"8,9800",USD,"359,20",USD,"308,17","1,1656","-0,77","-2,00","305,40",8cb0e635-1f7b-4fea-844d-761c70c1d7c0
20-08-2025,16:14,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,XNAS,4,"43,8000",USD,"-175,20",USD,"-150,28","1,1658","-0,38","-2,00","-152,66",f7e7f552-fe82-44ec-b3ff-3523f855d556
20-08-2025,16:12,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,JNST,3,"41,4250",USD,"-124,28",USD,"-106,61","1,1657","-0,27","-2,00","-108,88",f70c5995-30a9-4f5d-8d9b-59683a48bf24
20-08-2025,16:10,CLEANSPARK INC,US18452B2097,NDQ,CDED,-20,"9,0400",USD,"180,80",USD,"155,07","1,1659","-0,39","-2,00","152,69",3952c4c2-e8f0-44c8-a556-d63a510b34c0
15-08-2025,18:42,TESLA INC,US88160R1014,NDQ,CDED,1,"329,3900",USD,"-329,39",USD,"-281,46","1,1703","-0,70","-2,00","-284,16",4a2472ea-3242-448a-a761-ea6e0532ec47
08-08-2025,15:36,SHARPLINK INC,US8200144058,NDQ,JNST,6,"23,8700",USD,"-143,22",USD,"-122,95","1,1649","-0,31","-2,00","-125,25",c352980d-b540-45da-ae36-929fa37a7170
07-08-2025,15:33,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,JNST,5,"52,8300",USD,"-264,15",USD,"-226,74","1,1650","-0,57","-2,00","-229,31",1ebbd8e3-31e5-417e-926b-0c583de1284f
05-08-2025,15:32,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,JNST,5,"56,5450",USD,"-282,72",USD,"-244,79","1,1550","-0,61","-2,00","-247,40",4ad3bf66-4a6e-4815-9804-8db5a521620d
04-08-2025,16:36,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,BATS,5,"65,0000",USD,"-325,00",USD,"-280,59","1,1583","-0,70","-2,00","-283,29",71f5f780-79b7-4b87-85b0-7a033e742d8a
04-08-2025,16:35,CM.COM NV,NL0012747059,EAM,XAMS,-60,"5,0100",EUR,"300,60",EUR,"300,60",,"0,00","-3,00","297,60",72e23d6b-a41d-4591-851d-9140a4572e8c
04-08-2025,10:44,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,3,"42,7950",EUR,"-128,38",EUR,"-128,38",,"0,00","-1,00","-129,38",da936528-7f4b-443d-93ac-696c97df6162
01-08-2025,20:51,TESLA INC,US88160R1014,NDQ,CDED,1,"302,4350",USD,"-302,44",USD,"-262,08","1,1540","-0,66","-2,00","-264,73",61dee8a7-afcf-4189-a081-193b122855ef
25-07-2025,21:49,"UPEXI, INC",US39959A2050,NDQ,SOHO,30,"6,1000",USD,"-183,00",USD,"-155,83","1,1744","-0,39","-2,00","-158,21",cb3b92d6-767b-48b6-83d0-3d2b0e6ae342
24-07-2025,19:39,TESLA INC,US88160R1014,NDQ,CDED,1,"304,8050",USD,"-304,80",USD,"-258,93","1,1772","-0,65","-2,00","-261,57",73f5c096-fe46-4510-8178-d7da32a8ba7f
24-07-2025,16:25,"UPEXI, INC",US39959A2050,NDQ,CDED,20,"7,0400",USD,"-140,80",USD,"-119,62","1,1771","-0,30","-2,00","-121,92",e885a580-d9e8-4f12-ac1f-5b16fd7e4afb
09-07-2025,14:04,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,3,"42,7900",EUR,"-128,37",EUR,"-128,37",,"0,00","-1,00","-129,37",b651d4d4-5145-4bb8-a540-7aca6148b8e9
07-07-2025,16:07,TESLA INC,US88160R1014,NDQ,EDGX,2,"295,0000",USD,"-590,00",USD,"-502,73","1,1736","-1,26","-2,00","-505,99",279295ba-146e-465a-aca4-a41e4620a33e
03-07-2025,15:37,CLEANSPARK INC,US18452B2097,NDQ,XNAS,-50,"12,7500",USD,"637,50",USD,"542,19","1,1758","-1,36","-2,00","538,83",71988e96-ee7e-4250-beaa-4b43fc1696ea
01-07-2025,15:42,TESLA INC,US88160R1014,NDQ,ARCX,1,"296,0000",USD,"-296,00",USD,"-250,72","1,1806","-0,63","-2,00","-253,35",ab5ba438-4b21-42c3-befb-da0666812c0d
24-06-2025,16:21,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,5,"42,4550",USD,"-212,28",USD,"-182,79","1,1613","-0,46","-2,00","-185,25",70ae0da5-c7ff-40ce-8e3d-c0016bee4e0b
23-06-2025,10:12,CM.COM NV,NL0012747059,EAM,XAMS,30,"6,5000",EUR,"-195,00",EUR,"-195,00",,"0,00","-3,00","-198,00",84d5d127-b2ed-4638-8742-cc575187e794
20-06-2025,21:52,TESLA INC,US88160R1014,NDQ,JNST,1,"319,9500",USD,"-319,95",USD,"-277,81","1,1517","-0,69","-2,00","-280,50",a5f5872b-2a3f-43d8-861d-d82d7cb03887
05-06-2025,20:13,TESLA INC,US88160R1014,NDQ,EDGX,1,"300,0000",USD,"-300,00",USD,"-262,29","1,1438","-0,66","-2,00","-264,94",1bb07e25-61ce-4f41-9991-168da044c216
05-06-2025,12:42,CM.COM NV,NL0012747059,EAM,XAMS,15,"7,5000",EUR,"-112,50",EUR,"-112,50",,"0,00","-3,00","-115,50",23c15efc-1938-401c-895c-7b8c326193bd
20-05-2025,21:19,TESLA INC,US88160R1014,NDQ,ARCX,-1,"344,5000",USD,"344,50",USD,"305,49","1,1277","-0,76","-2,00","302,73",e829669f-6996-4c26-b02f-6bd875c0d38a
20-05-2025,21:15,TESLA INC,US88160R1014,NDQ,EDGX,-1,"344,0000",USD,"344,00",USD,"305,07","1,1276","-0,76","-2,00","302,31",a2296a78-65ad-44db-84cb-89ccb9985353
20-05-2025,09:33,CM.COM NV,NL0012747059,EAM,XAMS,15,"6,9700",EUR,"-104,55",EUR,"-104,55",,"0,00","-3,00","-107,55",7d11178e-0051-43ec-b656-7bad954486b3
02-05-2025,16:23,CLEANSPARK INC,US18452B2097,NDQ,CDED,100,"8,8900",USD,"-889,00",USD,"-782,51","1,1361","-1,96","-2,00","-786,46",cbcfcbd5-53fc-4eb2-98d4-274967095f58
29-04-2025,20:36,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNAS,-4,"36,0700",USD,"144,28",USD,"126,74","1,1384","-0,32","-2,00","124,42",fd69507b-df2c-4f05-837f-1049859b95ef
21-04-2025,20:49,TESLA INC,US88160R1014,NDQ,ARCX,1,"223,7000",USD,"-223,70",USD,"-194,13","1,1523","-0,49","-2,00","-196,62",e6cb55a9-caae-446c-b1ca-8aa66064fbbf
21-04-2025,20:45,ROBLOX CORP CLASS A,US7710491033,NSY,XNAS,-2,"59,1900",USD,"118,38",USD,"102,76","1,1520","-0,26","-2,00","100,50",96d772f1-9804-4e22-a1b7-b3a31d6369ba
21-04-2025,16:15,TESLA INC,US88160R1014,NDQ,ARCX,1,"225,5000",USD,"-225,50",USD,"-195,99","1,1506","-0,49","-2,00","-198,48",db729b9e-b599-4c63-b652-8fd11c1d9304
21-04-2025,16:04,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,-1,"320,0000",USD,"320,00",USD,"277,85","1,1517","-0,69","-2,00","275,16",7c00ff7f-bd47-42fd-acd0-bddbb185a24f
10-04-2025,15:58,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,20,"39,1800",EUR,"-783,60",EUR,"-783,60",,"0,00","-1,00","-784,60",d1900cc7-8467-430a-bd4a-cddf806e277e
04-04-2025,19:43,TESLA INC,US88160R1014,NDQ,ARCX,1,"243,5000",USD,"-243,50",USD,"-222,48","1,0945","-0,56","-2,00","-225,03",f5eea708-46cb-4935-91fa-f71b3d715450
04-04-2025,17:58,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,BATS,2,"26,2000",USD,"-52,40",USD,"-47,59","1,1010","-0,12","-2,00","-49,71",1cc3c8fa-0aef-4c54-abdd-7b132a3fdeb4
14-03-2025,15:02,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,SOHO,2,"31,7850",USD,"-63,57",USD,"-58,44","1,0878","-0,15","-2,00","-60,59",3cd0981f-394b-4013-91e3-235a0a44e5a6
28-02-2025,15:31,TESLA INC,US88160R1014,NDQ,XNAS,2,"275,0000",USD,"-550,00",USD,"-528,34","1,0410","-1,32","-2,00","-531,66",2dbdb158-f2dc-4c60-a13a-1862dc8d2e86
25-02-2025,17:05,TESLA INC,US88160R1014,NDQ,XNAS,1,"300,5000",USD,"-300,50",USD,"-286,27","1,0497","-0,72","-2,00","-288,99",6264f37a-cf7f-40eb-afa1-9fd8ef637deb
13-02-2025,11:38,ALFEN NV,NL0012817175,EAM,XAMS,-4,"11,3850",EUR,"45,54",EUR,"45,54",,"0,00","-3,00","42,54",a3d79b72-c49a-41e7-8090-0c8ca904af57
04-02-2025,14:01,ALFEN NV,NL0012817175,EAM,XAMS,3,"14,2850",EUR,"-42,86",EUR,"-42,86",,"0,00",,"-42,86",17ed64ec-726b-423d-9cf9-378003998ab6
04-02-2025,14:01,ALFEN NV,NL0012817175,EAM,XAMS,1,"14,2850",EUR,"-14,28",EUR,"-14,28",,"0,00","-3,00","-17,28",17ed64ec-726b-423d-9cf9-378003998ab6
03-02-2025,16:28,TESLA INC,US88160R1014,NDQ,ARCX,1,"383,0000",USD,"-383,00",USD,"-371,99","1,0296","-0,93","-2,00","-374,92",0a32e3c7-2cd6-4c6f-827c-771cf219bb39
31-01-2025,15:45,TESLA INC,US88160R1014,NDQ,XNAS,24,"411,0000",USD,"-9864,00",USD,"-9510,28","1,0372","-23,78","-2,00","-9536,05",b90d68dd-2792-4634-97ff-e696c0471bb9
31-01-2025,15:41,TESLA INC,US88160R1014,NDQ,CDED,-12,"411,4550",USD,"4937,46",USD,"4761,78","1,0369","-11,90","-2,00","4747,88",ba05d5e9-10f6-463e-a6fc-b3e966be7e4d
31-01-2025,13:46,TESLA INC,US88160R1014,XET,XTXE,-11,"385,9500",EUR,"4245,45",EUR,"4245,45",,"0,00","-4,90","4240,55",fa92fb61-000c-430b-a4b6-0ce6a8307be8
29-01-2025,20:36,TESLA INC,US88160R1014,NDQ,XNAS,1,"385,0000",USD,"-385,00",USD,"-370,44","1,0393","-0,93","-2,00","-373,37",264d0465-19aa-4037-a4c8-c69128ccc99f
27-01-2025,17:09,TESLA INC,US88160R1014,NDQ,EDGX,1,"402,0000",USD,"-402,00",USD,"-382,71","1,0504","-0,96","-2,00","-385,67",bbe3fe21-179c-4310-8189-94a37f60f15e
17-01-2025,15:45,ROBLOX CORP CLASS A,US7710491033,NSY,XNAS,2,"66,2500",USD,"-132,50",USD,"-128,85","1,0283","-0,32","-2,00","-131,18",b342801a-d10c-4786-be8b-df82107499ba
08-01-2025,18:56,TESLA INC,US88160R1014,NDQ,CDED,1,"392,7400",USD,"-392,74",USD,"-381,08","1,0306","-0,95","-2,00","-384,03",13c317a2-c3c2-4d19-8812-018376d46692
02-01-2025,10:00,TESLA INC,US88160R1014,XET,XETB,1,"393,9500",EUR,"-393,95",EUR,"-393,95",,"0,00","-4,90","-398,85",4f2165d6-b6be-41ed-9f10-d705e7e2a554
20-12-2024,15:40,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,1,"333,0000",USD,"-333,00",USD,"-320,38","1,0394","-0,80","-2,00","-323,18",533ff309-9ca1-406b-99c2-9d25d52d21ba
13-12-2024,21:12,COINBASE GLOBAL INC CLASS A,US19260Q1076,NDQ,ARCX,-2,"311,2500",USD,"622,50",USD,"593,20","1,0494","-1,48","-2,00","589,72",fb46cfde-8088-4af4-94b1-ffefa868bd90
05-12-2024,15:30,COINBASE GLOBAL INC CLASS A,US19260Q1076,NDQ,ARCX,-1,"340,0000",USD,"340,00",USD,"321,42","1,0578","-0,80","-2,00","318,62",eda520cf-8d40-423f-896b-0ffbca3c30dc
04-12-2024,15:38,TESLA INC,US88160R1014,NDQ,BATS,1,"349,5000",USD,"-349,50",USD,"-333,30","1,0486","-0,83","-2,00","-336,14",1fa010be-0381-45b8-95cc-6de040e4cd02
03-12-2024,18:42,NEPTUNE DIGITAL ASSETS CORP,CA64073L1013,TDG,XGAT,-350,"0,6460",EUR,"226,10",EUR,"226,10",,"0,00","-3,90","222,20",1cb60c07-2203-42a3-af03-c64e848554e6
03-12-2024,16:35,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,-1,"384,0000",USD,"384,00",USD,"365,68","1,0501","-0,91","-2,00","362,77",c3f228e7-6d6f-455b-99a8-c43699cac537
03-12-2024,16:00,COINBASE GLOBAL INC CLASS A,US19260Q1076,NDQ,CDED,3,"308,8950",USD,"-926,68",USD,"-881,22","1,0516","-2,20","-2,00","-885,42",d08e8e7e-1af8-4d23-8de8-e74362e364b2
26-11-2024,20:23,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,1,"350,0000",USD,"-350,00",USD,"-334,55","1,0462","-0,84","-2,00","-337,38",b449c6de-73c9-4df8-be23-1ac15f9fe5f2
22-11-2024,21:46,STRATEGY INC CLASS A,US5949724083,NDQ,EDGX,1,"427,0000",USD,"-427,00",USD,"-409,95","1,0416","-1,02","-2,00","-412,97",bc1d0eef-8689-4575-adc4-cafa68cf58a3
22-11-2024,17:27,ADR ON ALIBABA GROUP HOLDING LTD,US01609W1027,NSY,CDED,-5,"82,8850",USD,"414,42",USD,"398,79","1,0392","-1,00","-2,00","395,80",1a04d3b0-a40a-41ab-b91f-369e40322db4
22-11-2024,16:35,BITDEER TECHNOLOGIES GROUP CLASS A,KYG114481008,NDQ,XNAS,-67,"11,1200",USD,"745,04",USD,"715,91","1,0407","-1,79","-2,00","712,12",64f05e73-a252-4976-91fb-5ab2bd96aa26
21-11-2024,20:40,STRATEGY INC CLASS A,US5949724083,NDQ,EDGX,1,"433,0000",USD,"-433,00",USD,"-413,13","1,0481","-1,03","-2,00","-416,16",935f2da7-c17f-4daa-b2b5-c400624a7bb4
18-11-2024,18:21,STRATEGY INC CLASS A,US5949724083,NDQ,CDED,-1,"373,5650",USD,"373,56",USD,"352,99","1,0583","-0,88","-2,00","350,11",f2ab4d0d-f591-4884-968b-bfac9aeaf43f
11-11-2024,19:56,CLEANSPARK INC,US18452B2097,NDQ,CDED,-10,"17,2250",USD,"172,25",USD,"161,72","1,0651","-0,40","-2,00","159,32",d4aeef62-a36d-415e-a961-755ccf2a4c62
07-11-2024,20:12,TESLA INC,US88160R1014,NDQ,XNAS,2,"298,7700",USD,"-597,54",USD,"-554,10","1,0784","-1,39","-2,00","-557,49",b20b0a07-2caa-4867-8baf-00aff1796097
07-11-2024,19:40,TESLA INC,US88160R1014,NDQ,BATS,2,"297,0000",USD,"-594,00",USD,"-550,05","1,0799","-1,38","-2,00","-553,43",350e8d40-fccb-4ba6-860b-c644a80f300f
07-11-2024,14:36,TESLA INC,US88160R1014,XET,JNSI,-4,"266,8500",EUR,"1067,40",EUR,"1067,40",,"0,00","-4,90","1062,50",995e9bbd-6b18-4cf6-9676-3077877af0e2
01-11-2024,20:56,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,1,"229,4000",USD,"-229,40",USD,"-211,70","1,0836","-0,53","-2,00","-214,23",409f9bf9-180f-49f5-9f26-79684fcf170f
30-10-2024,15:05,NEPTUNE DIGITAL ASSETS CORP,CA64073L1013,TDG,XGAT,100,"0,5760",EUR,"-57,60",EUR,"-57,60",,"0,00","-3,90","-61,50",7fb5ae26-8730-4f0e-865a-4a85589668a0
30-10-2024,15:02,NEPTUNE DIGITAL ASSETS CORP,CA64073L1013,TDG,XGAT,250,"0,5760",EUR,"-144,00",EUR,"-144,00",,"0,00","-3,90","-147,90",56cfd9cf-e9bd-48f8-bb87-9c1612101b86
